size_category,records_processed_category,profile,use_exclusive_locks,copy_mode,ignore_exit_errors,status,parallel_number,lock_source_client,ignore_table_errors,use_table_segmenter,records_processed_bin,size_in_bytes_bin,LassoCV Regularization0,runtime_in_seconds
0,0,0,1,0,0,1,0.2,0,0,0,1,1,2221.516228994634,351.0
2,1,1,1,0,0,0,0.2,0,0,0,1,1,2004.584592849919,3947.0
0,0,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1778.5444738899525,918.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,591.6256016861207,26.0
2,2,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1817.9584948799336,2290.0
0,0,3,0,3,1,0,0.3333333333333333,0,0,0,1,1,1440.0395276377003,1562.0
1,1,1,0,0,1,1,0.3333333333333333,1,0,0,1,1,2192.6791811173034,2520.0
1,2,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1731.6953525816982,1397.0
3,3,1,0,4,0,1,0.3333333333333333,0,1,0,0,0,1055.4315080939718,2583.0
0,0,1,0,0,1,0,0.3333333333333333,0,0,0,1,1,1948.7941374676248,1107.0
0,1,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,1638.2317500882418,875.0
2,2,1,0,0,1,1,0.3333333333333333,1,0,0,1,1,2219.5028174261274,1678.0
3,3,1,0,4,0,0,0.3333333333333333,0,1,0,0,0,761.720517450382,767.0
2,2,1,0,0,1,0,0.0,1,0,0,1,1,1714.1739315860366,3217.0
2,2,1,0,0,0,0,0.3333333333333333,1,1,0,1,1,2018.9186626219496,2135.0
3,3,3,0,2,1,0,0.3333333333333333,0,0,0,0,0,614.0106178824735,66.0
2,2,1,1,0,1,0,0.3333333333333333,1,0,1,1,1,1792.449268978493,1523.0
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,404.7053371452926,455.0
2,2,1,0,0,1,0,0.3333333333333333,1,0,0,1,1,1817.9584948799336,1891.0
3,3,4,0,0,1,0,0.3333333333333333,1,0,0,0,0,484.6172442638574,457.0
3,3,4,1,0,1,0,0.3333333333333333,1,0,0,0,0,544.7197460058867,520.0
3,3,3,0,3,1,0,0.3333333333333333,0,0,0,0,0,642.4878512313333,55.0
