profile,ignore_exit_errors,status,copy_mode,use_table_segmenter,use_exclusive_locks,ignore_table_errors,lock_source_client,size_in_bytes_bin,parallel_number_bin,runtime_in_seconds
1,1,0,0,1,1,0,1,1,0,1126
4,1,0,0,0,0,0,1,0,0,780
3,1,0,3,0,0,0,0,0,3,33
1,1,0,0,0,0,0,0,3,3,2392
1,0,0,4,0,0,1,0,0,3,837
1,1,0,0,0,0,0,1,3,0,3108
4,1,1,0,0,1,0,1,0,3,155
1,0,0,0,0,0,1,1,2,3,1183
3,0,0,0,0,0,1,1,2,3,857
1,1,0,0,0,0,0,1,3,0,2979
1,0,0,0,0,0,1,1,3,3,898
7,1,0,6,0,1,0,0,2,3,215
1,1,0,0,0,0,0,1,3,3,2423
1,1,0,0,1,1,0,1,3,3,2083
1,1,0,0,1,1,0,1,2,3,1707
1,1,0,0,0,0,0,0,3,3,1369
1,1,0,0,0,0,0,1,3,0,2715
4,1,0,0,0,1,0,1,0,3,385
9,0,0,0,0,0,1,1,0,3,587
4,1,0,0,0,1,0,1,0,3,535
1,1,0,0,0,0,0,0,3,3,1843
8,0,0,0,0,1,1,0,0,3,514
1,1,0,0,1,1,0,1,3,3,1690
1,1,0,0,0,0,0,1,2,0,1031
1,1,0,0,0,0,0,0,3,3,1456
1,0,0,0,0,0,1,1,3,3,1466
3,1,0,2,0,0,0,0,2,3,81
1,1,0,0,0,0,0,1,3,0,1671
1,1,0,0,0,0,0,1,2,0,1704
1,0,0,0,0,0,1,1,3,3,2463
1,1,0,0,0,0,0,0,3,3,1920
1,0,1,0,0,0,1,1,3,3,1798
7,0,0,6,0,0,1,0,0,3,78
1,1,0,0,0,1,0,1,3,3,2104
3,0,1,0,0,0,1,1,0,3,98
7,0,0,6,0,0,1,0,2,3,69
1,0,1,5,0,0,0,0,0,0,44
8,0,0,0,0,1,1,0,0,3,495
3,1,1,0,1,1,0,1,2,3,1007
5,1,0,3,0,0,0,0,0,3,388
3,0,0,0,0,0,1,1,2,3,372
4,1,0,0,0,0,0,1,0,3,58
